statecounty,0.16%, 49.55%, 49.72%, 0.73%
01001,6.90%, 45.27%, 52.17%, 0.35%
01003,7.85%, 45.24%, 53.09%, 1.66%
01005,29.47%, 34.99%, 64.47%, 0.54%
01007,23.44%, 38.23%, 61.66%, 0.11%
01009,14.18%, 42.80%, 56.98%, 0.22%
01011,29.39%, 35.09%, 64.48%, 0.43%
01013,39.82%, 29.87%, 69.69%, 0.44%
01015,32.81%, 33.17%, 65.97%, 0.86%
01017,46.47%, 26.26%, 72.74%, 1.00%
01019,56.00%, 21.95%, 77.95%, 0.10%
01021,28.02%, 63.93%, 35.91%, 0.16%
01023,26.81%, 34.04%, 60.85%, 1.61%
01025,3.48%, 50.82%, 47.34%, 1.84%
01027,5.90%, 46.81%, 52.71%, 0.48%
01029,19.90%, 39.97%, 59.87%, 0.16%
01031,52.65%, 23.54%, 76.19%, 0.27%
01033,45.06%, 26.79%, 71.85%, 1.36%
01035,46.32%, 25.84%, 72.17%, 1.99%
01037,16.31%, 41.67%, 57.98%, 0.35%
01039,47.25%, 26.16%, 73.42%, 0.42%
01041,67.12%, 16.37%, 83.49%, 0.14%
01043,19.79%, 40.08%, 59.87%, 0.05%
01045,22.02%, 38.74%, 60.76%, 0.50%
01047,15.25%, 56.94%, 41.69%, 1.37%
01049,2.26%, 48.82%, 51.08%, 0.10%
01051,28.12%, 35.48%, 63.60%, 0.92%
01053,36.92%, 30.65%, 67.57%, 1.78%
01055,33.41%, 32.87%, 66.28%, 0.85%
01057,8.35%, 45.73%, 54.08%, 0.19%
01059,8.62%, 54.20%, 45.58%, 0.21%
01061,33.95%, 32.95%, 66.90%, 0.15%
01063,30.45%, 33.93%, 64.38%, 1.69%
01065,27.57%, 35.97%, 63.54%, 0.49%
01067,56.26%, 21.67%, 77.93%, 0.41%
01069,1.97%, 50.58%, 48.61%, 0.81%
01071,40.20%, 29.73%, 69.93%, 0.34%
01073,14.76%, 56.66%, 41.90%, 1.44%
01075,41.93%, 28.43%, 70.36%, 1.21%
01077,40.88%, 29.22%, 70.10%, 0.69%
01079,36.36%, 31.74%, 68.10%, 0.16%
01081,23.91%, 37.73%, 61.63%, 0.64%
01083,61.33%, 19.26%, 80.59%, 0.16%
01085,29.35%, 34.84%, 64.19%, 0.97%
01087,20.19%, 39.34%, 59.53%, 1.12%
01089,34.54%, 32.34%, 66.88%, 0.78%
01091,7.20%, 44.25%, 51.45%, 1.33%
01093,2.66%, 48.53%, 51.19%, 0.28%
01095,31.97%, 33.98%, 65.94%, 0.08%
01097,7.37%, 45.12%, 52.48%, 0.29%
01099,36.19%, 31.37%, 67.55%, 1.08%
01101,10.99%, 54.91%, 43.92%, 1.16%
01103,28.40%, 35.71%, 64.11%, 0.17%
01105,12.78%, 41.52%, 54.30%, 1.73%
01107,17.71%, 40.46%, 58.17%, 1.36%
01109,54.29%, 22.62%, 76.91%, 0.47%
01111,30.13%, 34.60%, 64.73%, 0.67%
01113,32.28%, 33.41%, 65.69%, 0.91%
01115,7.98%, 45.90%, 53.88%, 0.21%
01117,1.06%, 49.11%, 50.17%, 0.72%
01119,9.71%, 42.61%, 52.33%, 1.85%
01121,9.55%, 44.86%, 54.41%, 0.73%
01123,43.28%, 28.11%, 71.39%, 0.50%
01125,18.98%, 40.01%, 58.99%, 1.00%
01127,19.50%, 40.25%, 59.75%,-
01129,40.96%, 28.53%, 69.49%, 1.98%
01131,27.51%, 36.00%, 63.51%, 0.49%
01133,34.08%, 67.01%, 32.93%, 0.06%
02013,0%,-,-,-
02016,0%,-,-,-
02020,0%,-,-,-
02050,0%,-,-,-
02060,0%,-,-,-
02068,0%,-,-,-
02070,0%,-,-,-
02090,0%,-,-,-
02100,0%,-,-,-
02105,0%,-,-,-
02110,0%,-,-,-
02122,0%,-,-,-
02130,0%,-,-,-
02150,0%,-,-,-
02164,0%,-,-,-
02170,0%,-,-,-
02180,0%,-,-,-
02185,0%,-,-,-
02188,0%,-,-,-
02195,0%,-,-,-
02198,0%,-,-,-
02220,0%,-,-,-
02230,0%,-,-,-
02240,0%,-,-,-
02261,0%,-,-,-
02270,0%,-,-,-
02275,0%,-,-,-
02282,0%,-,-,-
02290,0%,-,-,-
