id,1912,1916,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012
1001,0c37bb,1c04dd,2f02cd,2707d0,6f008f,1.70E+07,0d01f0,0eee01,1.50E+11,15e900,56a800,5f1d81,730685,da2400,13b832,bf3f00,7b057e,910a62,b20448,ab0350,8e214e,9d0e52,b10449,c03c01,bb0141,b80243
1003,0a49ab,3023ab,4913a1,463483,82017b,310cc0,2510c8,2cc30e,4002bb,38c600,7a8400,820775,730487,ce3000,1dc719,d12d00,930566,a70b4b,c00638,b90242,902b42,9f1a45,b8073f,c23902,bf023c,c40336
1005,1.80E+07,0804f1,1c02df,0d07e9,5a02a1,0700f7,0501f8,09f401,0705f2,0ef000,42bc00,390abb,5901a4,cb3300,0cb53c,b44a00,6e058a,760a7e,890273,8e036d,6d1b76,670f88,7d027f,8b7201,80017c,7a0182
1007,083eb7,2213c8,2b10c3,2e2ea2,740089,1.40E+09,1.70E+09,15e602,2802d4,17e700,48b600,630a91,61009d,d62800,0ecd23,c83600,5a01a2,70018c,9c0161,8e006f,761a6e,7a1370,990461,b74601,b80243,b90242
1009,3e437c,72028a,7d017f,68078f,84007a,3304c6,3502c7,3bc102,5001ad,4cb200,59a500,71038a,6d0091,a45a00,38bd09,ca3400,62029a,880471,ad044c,a40554,892153,961454,b30446,ce2e02,d60325,db031f
1011,0002fc,0002fc,0000fe,0002fc,4200bc,0003fb,0001fd,00fb03,0500f9,00fe00,52ac00,3d1ba5,5901a4,926c00,0b8073,788600,4a03b1,410ab3,5103aa,4f02ad,4210ac,4308b3,4a03b0,50ad00,4100bc,3b00c2
1013,1417d3,0f01ed,1a03e1,1317d4,5c00a2,0701f5,0800f5,00f905,0a00f4,10ee00,4eb000,5f128d,4c01b1,cd3100,11c22a,c23c00,660097,740c7e,90036a,860276,691c78,6e137d,860275,966700,90006e,880175
1015,1931b3,2905d0,3f02bd,450dac,8a0073,2201db,1d02de,20dd00,2301da,34ca00,45b900,5206a6,5402a8,a05e00,1dba27,c43a00,5b039f,7d077a,9b0d55,940c5d,7a2262,7c156c,920567,a85401,a70254,a60355
1017,1.70E+08,1.60E+08,2301da,1.11E+11,a1005d,1e00df,0700f7,06f700,0d00f0,1fdf00,23db00,3604c3,4202b9,a45a00,19c420,c93500,760484,68088e,970264,970364,6e1c73,6c147e,820379,956801,890173,840277
1019,0c7b76,4d04ac,6f048b,5e059a,a0005e,2803d3,2601d7,20dd01,2f02cd,2ad400,2ad400,3d00c1,3700c6,7e8000,0fda14,b74700,3c03be,620795,82027a,770284,581d88,5c1d85,870571,a65502,be033c,c30437
