id,1976,1980,1984,1988,1992
1001,-1.37,18.05,41.82,35.70,25.00
1003,17.70,35.99,53.54,46.81,30.28
1005,-11.19,-3.19,8.54,12.61,-3.46
1007,-28.14,-10.78,23.21,12.46,3.33
1009,-21.97,9.14,38.22,31.51,20.90
1011,-40.34,-44.60,-34.72,-37.11,-41.65
1013,-18.90,-4.13,14.93,6.14,-6.22
1015,-26.61,1.29,27.67,21.65,9.74
1017,-5.71,-15.00,20.22,20.00,-1.96
1019,-50.77,-19.91,3.10,-5.05,-18.75
1021,-7.94,16.63,45.42,39.14,21.98
1023,-12.59,-12.48,7.99,1.94,-11.53
1025,-6.78,-1.78,16.93,14.88,4.03
1027,-21.88,-1.64,39.26,36.16,13.66
1029,-26.48,7.49,43.72,37.59,5.37
1031,-24.99,4.63,40.93,34.23,11.68
1033,-44.68,-29.64,-7.03,-14.25,-18.42
1035,-25.58,-2.49,12.68,3.68,-10.97
1037,-35.50,-15.89,18.34,12.72,-7.44
1039,-17.21,5.21,44.17,35.49,13.15
1041,-29.83,-4.30,25.74,17.44,-1.23
1043,-30.23,-5.90,29.37,25.15,13.63
1045,-11.71,18.38,51.88,44.87,19.16
1047,-10.53,-11.70,-6.61,-11.65,-18.66
1049,-19.24,4.56,25.25,21.88,10.54
1051,-0.70,18.04,46.63,40.87,25.18
1053,-9.17,11.32,38.05,25.44,8.94
1055,-41.08,-12.20,0.44,0.18,-7.28
1057,-30.40,-1.09,29.45,15.24,-2.67
1059,-30.18,-15.68,7.01,1.81,-9.77
1061,-37.99,0.46,44.15,35.62,12.37
1063,-52.30,-53.77,-44.42,-51.34,-62.69
1065,-22.28,-25.24,-9.87,-13.68,-24.57
1067,-20.86,-2.72,27.58,24.08,2.55
1069,9.55,30.28,52.23,48.00,28.57
1071,-46.17,-27.31,-6.21,-9.72,-25.99
1073,6.48,7.53,19.08,15.95,8.01
1075,-37.05,-9.51,34.65,17.10,5.99
1077,-35.90,-18.03,8.54,0.31,-6.54
1079,-65.13,-41.82,-4.21,-12.24,-24.06
1081,7.78,6.26,29.36,30.36,8.78
1083,-48.38,-26.94,21.51,24.60,8.22
1085,-38.65,-38.53,-36.90,-40.26,-42.19
1087,-60.79,-65.75,-66.47,-65.07,-69.84
1089,-25.38,0.21,30.14,34.76,11.56
1091,-10.17,-11.70,4.41,-1.85,-10.33
1093,-34.48,-2.50,26.63,13.81,-3.58
1095,-38.26,-13.52,22.69,24.02,6.84
1097,3.37,18.24,26.47,22.50,12.50
1099,-2.66,3.89,22.47,20.88,10.74
1101,8.62,11.62,16.16,17.65,3.95
1103,-28.82,-5.09,36.31,27.50,13.60
1105,-34.74,-29.84,-2.42,-25.48,-32.39
1107,-11.89,-11.27,13.25,10.66,-1.83
1109,-10.35,8.04,27.03,21.22,6.57
1111,-20.73,-1.40,33.28,29.94,6.07
1113,-31.19,-26.95,-6.62,-1.96,-19.50
1115,-7.14,18.54,43.73,41.80,27.42
1117,11.05,32.50,56.91,58.03,46.55
1119,-22.25,-40.44,-28.39,-32.85,-42.75
1121,-23.58,-1.25,24.23,21.77,7.49
1123,-18.06,-9.57,33.57,29.36,15.77
1125,-11.50,1.59,26.84,20.17,6.82
1127,-37.30,-21.12,9.52,-1.44,-11.95
1129,-22.93,-7.17,17.94,4.73,-9.51
1131,-34.12,-36.79,-22.02,-31.85,-33.33
1133,-5.39,19.12,44.53,35.57,21.16
2013,,,,,
2016,,,,,
2020,,,,,
2050,,,,,
2060,,,,,
2068,,,,,
2070,,,,,
2090,,,,,
2100,,,,,
2105,,,,,
2110,,,,,
2122,,,,,
2130,,,,,
2150,,,,,
2164,,,,,
2170,,,,,
2180,,,,,
2185,,,,,
2188,,,,,
2195,,,,,
2198,,,,,
2220,,,,,
2230,,,,,
2240,,,,,
2261,,,,,
2270,,,,,
2275,,,,,
2282,,,,,
2290,,,,,
4001,-30.37,19.58,-12.58,-24.73,-36.31
4003,3.22,28.17,25.55,14.27,-1.51
4005,7.40,25.88,20.36,6.19,-12.01
4007,-10.90,17.44,13.34,4.67,-9.69
4009,8.75,24.67,25.75,19.80,8.02
4011,-25.17,-13.38,-4.28,-6.27,-6.11
4012,,,29.10,18.65,-4.21
4013,27.13,40.37,44.92,31.02,8.51
4015,7.49,44.43,39.60,26.35,1.06
4017,-3.62,33.65,17.17,6.96,-11.72
4019,3.90,15.31,14.82,1.74,-11.20
4021,-6.02,12.85,15.87,3.82,-10.34
4023,0.99,10.96,21.79,0.78,-6.04
4025,24.60,45.39,43.42,30.85,8.67
4027,7.42,34.90,36.08,19.13,4.58
5001,-38.92,-11.20,20.62,12.94,-26.50
5003,-25.87,-6.77,25.33,-4.10,-33.34
5005,1.02,32.32,40.75,27.99,-8.59
5007,5.75,32.61,53.08,43.67,12.37
5009,-15.29,18.22,39.81,30.20,-0.24
5011,-51.75,-30.45,7.51,-1.83,-30.43
5013,-60.42,-22.62,16.41,12.46,-12.66
5015,-14.84,16.77,37.59,26.49,-2.64
5017,-40.89,-20.88,-15.27,-12.08,-44.36
5019,-56.91,-36.92,-5.12,-15.82,-37.70
5021,-49.90,-12.20,6.87,-10.83,-45.21
5023,-48.30,0.25,28.83,18.23,-15.13
5025,-56.44,-23.94,12.48,2.01,-22.68
5027,-4.68,8.17,27.67,21.47,-10.64
5029,-49.44,-6.02,14.79,-0.83,-25.69
5031,-38.03,8.29,26.91,12.97,-18.86
5033,-11.04,35.62,51.02,42.94,1.40
5035,-22.63,-5.60,1.03,5.14,-22.05
5037,-37.30,-8.87,18.33,3.17,-25.12
5039,-52.59,-27.36,7.29,-1.09,-16.54
5041,-51.00,-28.01,-3.78,-9.66,-45.12
5043,-36.86,-24.01,12.66,7.42,-28.74
5045,-49.01,-5.76,23.24,18.47,-13.92
5047,-30.48,11.39,28.98,18.56,-10.72
5049,-43.93,1.50,11.01,-2.53,-33.13
5051,-20.30,10.85,28.65,24.89,-16.46
5053,-56.77,-20.30,19.04,11.73,-14.81
5055,-47.14,-13.67,13.17,0.93,-32.71
5057,-30.74,-9.49,19.07,1.24,-34.62
5059,-56.24,-30.84,-1.79,-9.67,-30.82
5061,-34.13,-3.52,27.59,15.96,-20.82
5063,-42.39,-5.46,25.30,18.86,-22.20
5065,-40.96,-9.21,7.40,3.12,-33.77
5067,-56.72,-18.07,-1.72,-15.81,-40.94
5069,-44.66,-21.95,-10.84,-13.93,-45.10
5071,-39.78,-1.18,21.26,17.69,-18.32
5073,-22.97,-5.06,14.85,-1.45,-27.27
5075,-50.26,-4.34,21.64,0.40,-29.18
5077,-37.50,-28.55,-9.33,-21.09,-42.30
5079,-62.66,-33.10,-12.78,-17.05,-38.26
5081,-37.42,-7.15,20.11,-7.68,-32.25
5083,-28.98,4.63,27.39,27.08,-6.76
5085,-50.87,0.12,28.83,20.09,-10.81
5087,-7.81,12.78,24.25,18.40,-3.35
5089,-18.59,18.91,28.96,18.54,-11.75
5091,-17.35,5.99,27.63,13.25,-12.15
5093,-26.23,-10.59,14.81,7.27,-33.51
5095,-46.84,-13.65,1.91,-4.78,-29.35
5097,-44.74,-8.11,19.27,12.46,-18.83
5099,-45.40,-21.04,13.70,-0.52,-25.96
5101,-6.64,24.47,31.99,25.13,-0.84
5103,-52.94,-23.12,6.43,8.87,-29.80
5105,-47.04,-4.61,18.48,5.02,-21.23
5107,-39.87,-21.28,-11.75,-17.12,-38.23
5109,-39.06,-4.34,29.67,11.17,-13.97
5111,-42.95,-9.30,17.90,-3.03,-34.02
5113,-17.99,20.16,41.70,25.91,-5.61
5115,-31.47,5.99,35.23,34.01,1.97
5117,-55.44,-1.87,25.03,7.08,-30.64
5119,-25.48,-2.40,17.55,11.46,-23.14
5121,-48.68,-8.28,11.88,-4.08,-34.13
5123,-30.53,-12.69,4.96,-3.99,-30.64
5125,-48.86,-10.42,24.52,18.67,-10.00
5127,-33.70,-0.17,30.94,18.77,-11.68
5129,-8.18,22.07,35.85,33.86,2.33
5131,5.69,35.96,51.35,42.81,0.62
5133,-39.43,-6.40,25.80,5.02,-19.28
5135,-24.30,10.07,27.42,10.10,-17.72
5137,-45.48,-4.40,16.59,11.56,-18.85
5139,-2.09,14.94,32.65,26.95,-7.97
5141,-42.29,1.94,22.99,15.38,-16.40
5143,-4.95,24.03,37.26,30.13,-3.63
5145,-41.17,-3.88,30.68,22.69,-9.07
5147,-56.31,-33.23,-10.11,-27.26,-54.74
5149,-49.93,-7.22,20.17,12.19,-21.71
6001,-19.80,-10.34,-18.64,-30.79,-42.43
6003,8.05,26.25,15.02,13.77,1.11
6005,-4.22,22.85,24.62,13.75,1.24
6007,7.65,28.28,27.74,13.59,-1.04
