id,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012
1001,-1.37,18.05,41.82,35.70,25.00,29.14,40.98,51.98,47.84,45.95
1003,17.70,35.99,53.54,46.81,30.28,35.47,47.58,53.91,51.45,55.67
1005,-11.19,-3.19,8.54,12.61,-3.46,-12.96,-0.89,9.90,1.45,-3.14
1007,-28.14,-10.78,23.21,12.46,3.33,4.16,22.01,44.51,45.85,46.67
1009,-21.97,9.14,38.22,31.51,20.90,26.07,42.79,62.54,69.51,73.93
1011,-40.34,-44.60,-34.72,-37.11,-41.65,-43.89,-40.01,-36.38,-48.38,-52.80
1013,-18.90,-4.13,14.93,6.14,-6.22,-6.13,6.68,18.61,13.36,7.50
1015,-26.61,1.29,27.67,21.65,9.74,6.40,16.77,32.56,32.52,31.85
1017,-5.71,-15.00,20.22,20.00,-1.96,-7.28,3.56,17.46,8.48,5.16
1019,-50.77,-19.91,3.10,-5.05,-18.75,-16.04,8.40,31.86,51.23,54.88
1021,-7.94,16.63,45.42,39.14,21.98,17.90,34.85,54.22,57.84,60.25
1023,-12.59,-12.48,7.99,1.94,-11.53,-20.35,-1.45,8.22,7.44,4.59
1025,-6.78,-1.78,16.93,14.88,4.03,-0.45,12.17,18.46,11.55,8.20
1027,-21.88,-1.64,39.26,36.16,13.66,6.97,28.45,41.53,47.28,45.52
1029,-26.48,7.49,43.72,37.59,5.37,7.69,32.78,51.38,62.35,68.06
1031,-24.99,4.63,40.93,34.23,11.68,18.62,30.57,48.47,48.89,49.14
1033,-44.68,-29.64,-7.03,-14.25,-18.42,-9.45,-0.12,10.82,20.27,20.35
1035,-25.58,-2.49,12.68,3.68,-10.97,-14.83,-1.51,9.17,0.59,-1.65
1037,-35.50,-15.89,18.34,12.72,-7.44,-9.68,6.09,17.00,17.53,16.24
1039,-17.21,5.21,44.17,35.49,13.15,12.52,33.21,52.62,58.30,58.26
1041,-29.83,-4.30,25.74,17.44,-1.23,-5.24,17.91,37.80,37.85,35.51
1043,-30.23,-5.90,29.37,25.15,13.63,17.94,31.83,53.35,65.24,69.30
1045,-11.71,18.38,51.88,44.87,19.16,24.82,35.98,50.12,44.60,42.05
1047,-10.53,-11.70,-6.61,-11.65,-18.66,-22.06,-19.54,-20.68,-34.47,-39.71
1049,-19.24,4.56,25.25,21.88,10.54,18.07,28.45,40.60,51.21,54.66
1051,-0.70,18.04,46.63,40.87,25.18,30.59,42.53,54.34,50.93,48.67
1053,-9.17,11.32,38.05,25.44,8.94,5.07,21.03,37.91,28.53,25.50
1055,-41.08,-12.20,0.44,0.18,-7.28,-3.04,9.29,27.35,38.22,38.30
1057,-30.40,-1.09,29.45,15.24,-2.67,-2.64,19.44,39.07,48.88,53.24
1059,-30.18,-15.68,7.01,1.81,-9.77,-5.52,11.94,25.89,39.16,40.40
1061,-37.99,0.46,44.15,35.62,12.37,17.27,39.95,59.21,62.48,62.98
1063,-52.30,-53.77,-44.42,-51.34,-62.69,-61.71,-60.37,-59.10,-66.58,-69.57
1065,-22.28,-25.24,-9.87,-13.68,-24.57,-27.02,-21.58,-16.99,-21.69,-25.45
1067,-20.86,-2.72,27.58,24.08,2.55,0.95,18.35,33.00,29.68,29.03
1069,9.55,30.28,52.23,48.00,28.57,30.95,39.74,48.98,40.80,40.26
1071,-46.17,-27.31,-6.21,-9.72,-25.99,-16.42,-3.30,14.27,36.93,41.77
1073,6.48,7.53,19.08,15.95,8.01,4.13,3.14,9.01,-5.09,-5.97
1075,-37.05,-9.51,34.65,17.10,5.99,1.75,25.07,42.67,53.78,53.11
1077,-35.90,-18.03,8.54,0.31,-6.54,1.44,11.21,20.30,28.18,30.78
1079,-65.13,-41.82,-4.21,-12.24,-24.06,-13.42,-5.13,11.25,28.02,26.89
1081,7.78,6.26,29.36,30.36,8.78,15.25,20.54,26.33,19.76,19.84
1083,-48.38,-26.94,21.51,24.60,8.22,13.62,22.05,36.38,41.91,43.52
1085,-38.65,-38.53,-36.90,-40.26,-42.19,-47.80,-46.76,-40.64,-50.01,-53.05
1087,-60.79,-65.75,-66.47,-65.07,-69.84,-73.52,-74.44,-66.23,-74.05,-74.20
1089,-25.38,0.21,30.14,34.76,11.56,8.06,12.31,18.72,14.94,18.57
1091,-10.17,-11.70,4.41,-1.85,-10.33,-9.53,-1.57,2.11,-3.57,-7.20
1093,-34.48,-2.50,26.63,13.81,-3.58,-2.83,19.65,40.19,56.14,61.41
1095,-38.26,-13.52,22.69,24.02,6.84,15.45,23.95,45.51,56.35,59.94
1097,3.37,18.24,26.47,22.50,12.50,9.24,13.97,18.04,8.75,9.21
1099,-2.66,3.89,22.47,20.88,10.74,6.52,15.77,22.71,10.22,7.72
1101,8.62,11.62,16.16,17.65,3.95,-0.76,-1.92,-1.19,-19.22,-24.25
1103,-28.82,-5.09,36.31,27.50,13.60,17.87,22.76,39.03,43.76,44.38
