id,1916,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012
1001,-75.9,-62.16,-66.57,-12.78,-80.38,-89.12,-87.93,-82.48,181.65,-31.11,-13.3,-6.9,71.66,151.06,52.86,-1.37,18.05,41.82,35.7,25,29.14,40.98,51.98,47.84,45.95
1003,-48.24,-34.8,-23.96,2.61,-55.9,-64.17,-58.96,-47.92,152.54,-3.13,4.94,-7.85,62.24,165.28,66.29,17.7,35.99,53.54,46.81,30.28,35.47,47.58,53.91,51.45,55.67
1005,-91.19,-76.42,-86.26,-27.85,-94.07,-95.43,-92.17,-92.07,188.25,-47.61,-50.82,-29.47,59.52,145.21,44.66,-11.19,-3.19,8.54,12.61,-3.46,-12.96,-0.89,9.9,1.45,-3.14
1007,-64.91,-59.54,-45.41,-8.41,-82.29,-81.22,-81.91,-67.47,179.3,-42.87,-18.09,-23.44,67.88,166.21,58.73,-28.14,-10.78,23.21,12.46,3.33,4.16,22.01,44.51,45.85,46.67
1009,-9.42,-0.99,-15.23,4.12,-57.65,-57.35,-52.46,-36.12,138.9,-29.48,-9.79,-14.18,29.34,149.78,60,-21.97,9.14,38.22,31.51,20.9,26.07,42.79,62.54,69.51,73.93
1011,-98.4,-99.32,-97.66,-47.46,-97.44,-99,-97.28,-95.56,198.76,-35,-40.58,-29.39,15.28,14.53,-3.11,-40.34,-44.6,-34.72,-37.11,-41.65,-43.89,-40.01,-36.38,-48.38,-52.8
1013,-86.79,-77.91,-75.79,-27.72,-93.32,-92.93,-95.98,-91.75,186.73,-38.35,-17.94,-39.82,60.88,159.24,53.59,-18.9,-4.13,14.93,6.14,-6.22,-6.13,6.68,18.61,13.36,7.5
1015,-65.6,-49.64,-40.48,9.02,-72.61,-75.41,-74.21,-71.85,156.93,-44.3,-33.06,-32.81,26.26,156.27,54.9,-26.61,1.29,27.67,21.65,9.74,6.4,16.77,32.56,32.52,31.85
1017,-80.89,-71.76,-84.09,26.84,-76.06,-93.91,-94.58,-89.13,173.68,-71.84,-55.18,-46.47,28.84,161.37,60.35,-5.71,-15,20.22,20,-1.96,-7.28,3.56,17.46,8.48,5.16
1019,-37.47,-10.91,-23.5,25.73,-67.37,-69.4,-74.28,-62.09,164.81,-66.18,-51.7,-56,10.6,175.83,45.16,-50.77,-19.91,3.1,-5.05,-18.75,-16.04,8.4,31.86,51.23,54.88
1021,20.97,39.86,29.59,38.85,-4.06,-27.03,-15.81,-17.75,110.71,6.07,24.25,28.02,51.94,156.26,67.59,-7.94,16.63,45.42,39.14,21.98,17.9,34.85,54.22,57.84,60.25
1023,-93,-85.56,-95.6,-48.66,-93.87,-90.64,-93.04,-86.86,198.83,-45.31,-44.57,-26.81,71.62,142.82,22.29,-12.59,-12.48,7.99,1.94,-11.53,-20.35,-1.45,8.22,7.44,4.59
1025,-94.84,-92.94,-85.16,-27.94,-95.54,-95.54,-97.42,-88.08,195.35,-41.08,-22.27,3.48,65.68,151.6,43.5,-6.78,-1.78,16.93,14.88,4.03,-0.45,12.17,18.46,11.55,8.2
1027,-27.65,-0.75,-21.75,31.76,-38.28,-48.28,-42.97,-34.67,147.87,-24.94,-2.41,-5.9,40.26,166.25,76.91,-21.88,-1.64,39.26,36.16,13.66,6.97,28.45,41.53,47.28,45.52
1029,-13.46,17.32,5.44,16.5,-55.08,-37.88,-51.72,-30.45,137.29,-32.5,-14.21,-19.9,52.48,170.81,70.73,-26.48,7.49,43.72,37.59,5.37,7.69,32.78,51.38,62.35,68.06
1031,-64.74,-43.52,-65.5,-21.66,-93.53,-92.83,-87.76,-92.14,189.13,-69.7,-60.55,-52.65,60.38,172.58,61.01,-24.99,4.63,40.93,34.23,11.68,18.62,30.57,48.47,48.89,49.14
1033,-51.02,-47.23,-40.69,-34.11,-80.02,-85.83,-83.12,-74.32,167.87,-62.11,-58.05,-45.06,12.82,157.93,38.66,-44.68,-29.64,-7.03,-14.25,-18.42,-9.45,-0.12,10.82,20.27,20.35
1035,-90.61,-74.86,-79.61,12.94,-89.82,-91.72,-95.63,-83.6,190.49,-37.79,-29.12,-46.32,62.64,150.07,50.56,-25.58,-2.49,12.68,3.68,-10.97,-14.83,-1.51,9.17,0.59,-1.65
1037,-27.5,-15.08,-21.46,21.32,-66.34,-68.46,-61.42,-46.26,150.26,-31.12,-13.53,-16.31,45.54,157.91,54.87,-35.5,-15.89,18.34,12.72,-7.44,-9.68,6.09,17,17.53,16.24
