id,1912,1916,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012
1001,0c26bb,1c04dd,2f02cd,2707d0,6f008f,1702e4,0d01f0,0e01ee,1500e8,15e900,5601a6,5f1d81,730685,da2400,13b532,bf0638,7b057e,910a62,b20448,ab0350,8e1f4e,9d0e52,b10449,c0013c,bb0141,b80243
1003,0a26ab,3023ab,4902a1,463483,82017b,3100c0,2503c8,2c02c3,4002bb,38c600,7a0282,820775,730487,ce3000,1dc419,d10428,930566,a70b4b,c00638,b90242,902942,9f1a45,b8073f,c20239,bf023c,c40336
1005,0018e6,0804f1,1c02df,0d07e9,5a02a1,0700f7,0501f8,0901f4,0700f2,0ef000,4200bc,390abb,5901a4,cb3300,0cb03c,b40742,6e058a,76047e,890273,8e036d,6d1876,670f88,7d027f,8b0172,80017c,7a0182
1007,0827b7,2213c8,2b00c3,2e2ea2,740089,1404e6,1700e6,1502e6,2802d4,17e700,4801b5,630a91,61009d,d62800,0ecc23,c80432,5a01a2,70018c,9c0161,8e006f,761a6e,7a1370,990461,b70146,b80243,b90242
1009,3e437c,72028a,7d017f,68078f,84007a,3304c6,3502c7,3b02c1,5001ad,4cb200,5900a4,71038a,6d0091,a45a00,38b709,ca0331,62029a,880471,ad044c,a40554,891e53,961454,b30446,ce022e,d60325,db031f
1011,0002fc,0002fc,0000fe,0002fc,4200bc,0003fb,0001fd,0003fb,0500f9,00fe00,5200ac,3d1ba5,5901a4,926c00,0b7e73,780580,4a03b1,4103b3,5103aa,4f02ad,420eac,4308b3,4a03b0,5000ad,4100bc,3b00c2
1013,1417d3,0f01ed,1a03e1,1317d4,5c00a2,0701f5,0800f5,0005f9,0a00f4,10ee00,4e00b0,5f128d,4c01b1,cd3100,11c22a,c2013a,660097,74057e,90036a,860276,691a78,6e137d,860275,960067,90006e,880175
1015,1931b3,2905d0,3f02bd,450dac,8a0073,2201db,1d02de,2000dd,2301da,34ca00,4502b6,5206a6,5402a8,a05e00,1db627,c40238,5b039f,7d077a,9b0d55,940c5d,7a1c62,7c156c,920567,a80154,a70254,a60355
1017,0017e7,1602e5,2301da,1105e8,a1005d,1e00df,0700f7,0600f7,0d00f0,1fdf00,2301da,3604c3,4202b9,a45a00,19bd20,c90430,760484,68088e,970264,970364,6e1b73,6c147e,820379,950168,890173,840277
1019,0c7476,4d04ac,6f048b,5e059a,a0005e,2803d3,2601d7,2001dd,2f02cd,2ad400,2a00d3,3d00c1,3700c6,7e8000,0fd614,b70344,3c03be,620795,82027a,770284,581b88,5c1d85,870571,a60255,be033c,c30437
1021,0f8363,970561,b0044a,a10855,b0004d,780482,5c01a1,6b0093,680095,718d00,860077,9b055d,a3005b,c13d00,2dbd10,d30426,740288,920368,b30b40,b0004d,8f1857,8d125f,aa0351,c30139,c80234,cb0231
1023,0022dc,0604f3,1200ec,0005f9,4100bd,0700f7,0b00f3,0800f6,1000ed,00fe00,4501b8,410ab3,560d9b,da2400,07b144,9a0262,6e018f,6e018e,890075,81007c,671084,5d0f91,7c0280,890074,880175,840179
1025,0005f3,0006f8,0801f5,1103ea,5b00a3,0500f9,0500f9,0003fb,0f00ef,05f900,4b00b3,62009b,810478,d32b00,0eb632,b40445,740486,78087d,940169,91026b,77126d,780c79,8e026e,960067,8d0170,890174
1027,077185,5b00a2,7e0080,610598,a70056,4d02af,3b01b7,4801b5,5201aa,41bd00,5f009e,7a0380,770186,b24c00,23cc0c,e1011c,62019a,7a057e,ad0749,aa064d,7e1c5b,7b1a69,a10558,b30249,ba0241,b70343
1029,196183,6d028f,950069,820774,94006a,3800c5,4e01af,3d00c1,5801a5,4eb000,5500a8,6d0091,650098,c23c00,1ed30a,d90024,5b039f,860473,b30644,ae024e,761e68,7c1a68,a60453,c0013d,cc042d,d40327
1031,0937b4,2b02d0,4701b6,2a03d1,63009b,0800f6,0801f5,0f00ef,0900f4,0df100,2600d8,2f06c9,3c00c2,cc3200,10d219,cc0230,5e029e,800974,b20349,a90252,7c215e,8c155d,a40456,bc0140,bd0140,bc023f
1033,2629a1,3a07bc,4000b8,4016a8,5000a7,1801e4,1100ec,1500e9,2000de,27d700,3000ce,3303c7,4403b7,7b8300,1cb925,ac084a,4305b5,540a9f,730585,6b0390,5b178a,681680,7c057c,8c0170,970463,970363
1035,0f1ace,0904f0,2000de,1508e0,8f006f,0c00f2,0901f3,0500f9,1302e8,0bf300,4d03ae,51109c,4105b8,cf2f00,08b636,be023d,5c049e,79057f,8e026e,820379,63167f,611587,7b037f,8a0173,7f017d,7c0181
1037,1746a1,59069f,6b0291,620399,9a0064,2902d2,2505d4,3001cc,4301b9,3ec000,5700a7,6c038e,6a0093,b94500,16bd29,c40138,5002ab,670690,960167,8f016e,68197b,6a1182,850475,940268,940168,930269
1039,1016bb,230fcb,3400c3,1310da,74008a,0600f7,0900f4,0900f5,1400ea,0df100,3d00c0,4c0ba6,4201bb,d12d00,10dd0f,d90124,670393,830576,b60246,ab0251,7c225b,811c61,a70353,c1013b,c80134,c80234
1041,0a1dd7,1601e6,2d01d0,1703e3,6c0092,0d00ea,0900f4,0700f6,0e00ef,06f800,2d00d0,300dc1,2900d4,c83600,09d121,b90440,5704a3,780383,9d055c,950168,701773,6f137c,940366,af014e,af014e,ab0151
1043,177b6c,7c0180,91016b,730c7e,a60058,3d05bc,4e00af,5900a4,5b01a1,53ab00,63009a,70008d,660098,946a00,49a310,ca0132,5702a4,750584,a20358,9d035d,7e245b,89195b,a50554,c2023a,d0032a,d50325
1045,0f46a8,5101ab,5a02a2,3404c5,72008c,1000ee,1200eb,2000dd,2102da,24da00,4801b4,58079f,62019a,d52900,0fd516,d40228,6e048c,920764,c0023b,b70344,832752,931754,aa044f,be013e,b70245,b30248
1047,0008f6,0005f9,0700f7,060fe9,4400ba,0701f6,0004fa,0c00f2,0c00f1,0bf300,8c0072,6e2b64,91036a,e31b00,138663,9a0360,6f058a,6b0489,750286,6f018d,600e8f,5f0797,650197,640099,5300ab,4c00b1
1049,31428b,640396,8c0170,880076,970067,72028a,6d0091,5600a7,5f009e,6e9000,6e0090,7e0080,7c0082,936b00,5b8b15,b50048,660197,830278,9f005f,9a0162,7c2061,8a185b,a10558,b2014a,be043c,c30437
1051,0e20d0,0001fd,2a00d3,2904d0,92006c,0b00df,0a00eb,0800f6,0e00f0,10ee00,3c00c2,4c139e,5a02a2,d52900,11c325,cb052d,7b057d,910963,b90242,b20349,8e224d,9d124f,b30447,c40139,bf013d,bc0240
1053,0d16da,1900e5,1b00e2,1b09da,9d0060,1200ec,0900f4,0b00f2,1c01e0,19e500,4200bc,4910a5,4e04ac,bd4100,10c823,d1022a,700688,89086c,ae034d,9e025d,76205f,771c6a,980362,af014e,a2015a,9e025d
1055,1f4e85,4d07a9,5802a3,540d9c,960167,2c02d0,2c01d1,2601d7,3303c7,35c900,4b01b2,5c049e,5302a9,966800,23af25,ba0341,4902b2,6d058c,7e037d,7e027e,68197b,72127a,880570,a1025b,ae034c,ae044c
1057,48367f,650494,8f026c,690392,980066,4302b9,3e01be,4101bb,5a00a3,5ba300,63009a,7e017e,740089,b54900,21bf1b,d50029,5701a5,7c037f,a40059,92016b,6c1e73,701677,950564,b0014c,bc023f,c1023a
1059,2b5078,780580,920368,000bf3,8f006f,5801a4,60019d,5b00a2,670097,708e00,680095,80007e,8a0074,8f6f00,46a510,bf033c,5702a4,690491,860375,80037b,671780,6c187a,8c046e,9f015d,af034b,b1034a
1061,105493,5a04a0,6a0391,4706b1,81007d,1800e6,1900e5,1f01de,2801d4,22dc00,4200bc,4906af,5400aa,cd3100,08e90b,d70126,4d02ae,7d047c,b20a41,ab0250,7d225d,861e5a,af0549,ca0133,cd022e,ce022d
1063,2e01ce,0500f9,0005f9,0004fa,0f00ef,0003f4,0500f8,1400ea,0f00ee,0cf200,63009b,4b0aa8,5604a4,a75700,0b638f,4b05ae,3c00c1,3a01c3,4208b3,3d01bf,2a0ac9,2d05cb,3102cb,3301ca,2a01d3,2600d7
1065,0003fb,0005f9,0005f9,0601f6,4600b8,0d00f1,0004fa,0004fa,0600f8,0af400,62009c,430dae,5b01a2,c53900,0c8e61,970a5d,600598,580498,71038a,6c028f,541493,58099d,620399,690194,63009a,5e009f
1067,0c29c1,2207d4,670097,2c09c9,7d0080,0500f8,0004fa,0800f6,0600f7,0bf300,2c00d1,280ec7,3701c6,d32b00,00cb2e,ca0132,630199,7a0480,a1025b,9d0160,741a6e,761473,950366,a90054,a40158,a30159
1069,0c38b2,3606c1,3603c4,1d0bd5,750089,0900f4,0f01ee,1b00e2,1301ea,22dc00,640297,621587,80027b,e01e00,0fd516,d40227,890371,a30556,c1013c,bc0041,941d4b,9e104f,b0034a,bd0140,b2014a,b1024b
1071,1930b4,3904c0,5e019f,4d08a8,950068,3a00c3,3500c8,3200cc,4100bd,41bd00,4100bd,4700b6,4b00b2,768800,1bc617,a80650,4107b6,57099d,750385,71038a,4c218f,5c1b86,780581,90016c,ac054d,b20447
1073,0e2ab9,2707cf,3706c1,3c1fa2,83007a,1f00d9,1802e4,2601d7,3001cd,30ce00,740189,7f0f70,90036a,b94500,318445,ad0749,850474,820d6f,970066,93016a,7f126b,800975,810478,8a0173,780184,760285
1075,0e29c6,2f05ca,4201ba,3003ca,5c00a2,1a00e3,1300eb,1701e6,2101db,1ce200,3100cd,4102bb,4803b3,b84600,0fe10d,cd012f,4d05ab,72018a,ab0053,950069,781c69,751871,9d045d,b50148,c3013a,c1023a
