statecounty,14.45%, 23.18%, 41.83%, 1.61%, 27.39%,-
01001,58.37%, 5.07%, 73.35%,-, 14.98%,-
01003,52.05%, 4.00%, 67.28%,-, 15.23%,-
01005,83.49%,-, 90.38%, 2.74%, 6.89%,-
01007,56.27%, 3.51%, 71.87%,-, 15.60%,-
01009,23.52%, 24.65%, 48.74%, 1.39%, 25.22%,-
01011,98.65%,-, 99.19%, 0.81%,-,-
01013,75.09%, 7.90%, 83.00%, 1.75%, 7.35%,-
01015,52.58%, 10.07%, 70.47%, 1.57%, 17.89%,-
01017,83.92%,-, 90.83%, 2.26%, 6.91%,-
01019,0.86%, 5.03%, 46.57%,-, 45.71%,-
01021,12.20%, 6.23%, 39.18%,-, 51.38%,-
01023,74.73%,-, 86.40%, 1.94%, 11.66%,-
01025,93.02%,-, 95.34%, 2.33%,-,-
01027,8.04%, 3.03%, 52.46%, 0.09%, 44.42%,-
01029,13.55%, 9.96%, 51.72%, 0.15%, 38.17%,-
01031,48.81%, 3.76%, 70.67%,-, 21.86%,-
01033,47.09%, 15.25%, 63.28%,-, 16.19%,-
01035,70.53%, 6.05%, 80.93%,-, 10.39%,-
01037,36.98%, 9.04%, 63.27%, 1.41%, 26.29%,-
01039,62.20%, 6.47%, 73.54%,-, 8.64%,-
01041,73.61%, 4.03%, 84.49%, 0.60%, 10.88%,-
01043,4.97%, 9.12%, 42.49%, 0.93%, 47.46%,-
01045,38.40%, 6.17%, 66.02%, 0.19%, 27.62%,-
01047,95.50%,-, 96.69%, 3.31%,-,-
01049,29.94%, 19.49%, 54.61%, 1.23%, 24.67%,-
01051,69.86%, 5.74%, 81.70%, 0.71%, 11.84%,-
01053,78.00%, 5.37%, 85.64%, 1.34%, 7.64%,-
01055,21.55%, 12.22%, 52.18%,-, 30.63%,-
01057,21.55%, 28.52%, 50.07%, 1.31%, 20.11%,-
01059,15.47%, 17.14%, 47.09%,-, 31.61%,-
01061,24.71%, 6.44%, 57.93%,-, 33.22%,-
01063,62.79%, 18.22%, 81.01%, 0.78%,-,-
01065,97.54%,-, 98.50%, 1.50%,-,-
01067,59.55%, 5.02%, 75.88%,-, 16.33%,-
01069,48.03%, 4.96%, 70.18%,-, 22.14%,-
01071,52.82%, 10.16%, 70.82%, 1.02%, 18.00%,-
01073,56.05%, 5.67%, 72.69%,-, 16.64%,-
01075,62.66%, 5.83%, 77.94%, 0.96%, 15.28%,-
01077,53.96%, 13.03%, 68.68%,-, 14.72%,-
01079,33.69%, 17.46%, 56.70%,-, 23.02%,-
