statecounty,3.13%, 46.11%, 49.25%, 1.46%, 3.18%
01001,75.90%, 11.15%, 87.05%, 1.80%,-
01003,48.25%, 18.95%, 67.19%, 0.88%, 12.98%
01005,91.19%, 3.45%, 94.64%, 1.92%,-
01007,64.90%, 13.67%, 78.58%, 1.07%, 6.68%
01009,9.42%, 44.71%, 54.13%, 1.16%,-
01011,98.66%,-, 99.20%, 0.80%,-
01013,86.79%, 6.24%, 93.03%, 0.72%,-
01015,65.60%, 16.21%, 81.81%, 1.98%,-
01017,80.89%, 8.99%, 89.88%, 1.12%,-
01019,37.47%, 30.31%, 67.78%, 1.91%,-
01021,20.97%, 59.31%, 38.34%, 2.35%,-
01023,93.00%, 2.63%, 95.63%, 1.75%,-
01025,95.68%,-, 97.42%, 2.58%,-
01027,27.65%, 36.07%, 63.72%, 0.21%,-
01029,13.46%, 42.75%, 56.21%, 1.04%,-
01031,64.74%, 17.21%, 81.95%, 0.85%,-
01033,51.01%, 23.02%, 74.04%, 0.07%, 2.88%
01035,90.61%, 3.83%, 94.44%, 1.73%,-
01037,27.50%, 34.92%, 62.42%, 0.22%, 2.45%
01039,65.92%, 14.03%, 79.94%, 1.10%, 4.92%
01041,81.62%, 8.81%, 90.43%, 0.76%,-
01043,1.63%, 48.90%, 50.52%, 0.58%,-
01045,35.45%, 31.93%, 67.38%, 0.70%,-
01047,96.44%,-, 97.87%, 2.13%,-
01049,19.74%, 39.35%, 59.09%, 1.55%,-
01051,99.15%,-, 99.57%, 0.43%,-
01053,79.96%, 9.88%, 89.84%, 0.27%,-
01055,36.14%, 30.51%, 66.65%, 0.25%, 2.58%
01057,18.74%, 39.69%, 58.43%, 1.88%,-
01059,2.89%, 47.44%, 50.34%, 2.22%,-
01061,27.42%, 35.42%, 62.84%, 1.74%,-
01063,95.41%, 2.30%, 97.70%,-,-
01065,95.94%,-, 97.79%, 2.21%,-
01067,69.60%, 13.65%, 83.25%, 0.48%, 2.61%
01069,54.83%, 21.22%, 76.05%, 0.64%, 2.09%
01071,53.13%, 22.48%, 75.61%, 1.90%,-
01073,65.74%, 15.64%, 81.38%, 0.72%, 2.26%
01075,60.92%, 18.53%, 79.45%, 2.02%,-
01077,62.13%, 17.51%, 79.64%, 0.62%, 2.23%
01079,75.91%, 3.71%, 85.92%, 0.35%,-
01081,91.77%, 2.90%, 94.67%, 0.35%, 2.07%
01083,86.28%, 5.84%, 92.12%, 2.03%,-
01085,96.37%,-, 98.00%, 2.00%,-
01087,85.67%, 6.92%, 92.59%, 0.48%,-
01089,80.48%, 8.69%, 89.17%, 2.14%,-
01091,97.35%,-, 98.61%, 1.39%,-
01093,24.19%, 37.69%, 61.89%, 0.42%,-
01095,24.01%, 37.32%, 61.32%, 1.36%,-
01097,54.83%, 21.36%, 76.18%, 2.46%,-
01099,96.47%,-, 98.09%, 1.91%,-
01101,92.99%, 3.07%, 96.06%, 0.87%,-
01103,68.43%, 14.19%, 82.62%, 3.20%,-
01105,94.29%, 2.16%, 96.44%, 1.40%,-
01107,67.72%, 15.36%, 83.09%, 1.55%,-
01109,93.70%, 2.69%, 96.39%, 0.92%,-
01111,33.85%, 32.85%, 66.70%, 0.45%,-
01113,98.55%,-, 99.08%, 0.92%,-
01115,7.16%, 44.81%, 51.97%, 0.42%, 2.79%
01117,4.25%, 51.81%, 47.57%, 0.62%,-
01119,97.19%,-, 98.21%, 1.79%,-
01121,54.71%, 22.39%, 77.10%, 0.50%,-
01123,85.71%, 6.27%, 91.98%, 1.75%,-
01125,81.94%, 8.05%, 89.99%, 1.96%,-
01127,10.56%, 43.25%, 53.80%, 0.47%, 2.49%
01129,86.99%, 5.95%, 92.94%, 1.12%,-
01131,99.77%,-, 99.88%, 0.12%,-
01133,20.57%, 59.94%, 39.36%, 0.70%,-
02013,0%,-,-,-,-
02016,0%,-,-,-,-
02020,0%,-,-,-,-
02050,0%,-,-,-,-
02060,0%,-,-,-,-
02068,0%,-,-,-,-
02070,0%,-,-,-,-
02090,0%,-,-,-,-
02100,0%,-,-,-,-
02105,0%,-,-,-,-
02110,0%,-,-,-,-
02122,0%,-,-,-,-
02130,0%,-,-,-,-
02150,0%,-,-,-,-
02164,0%,-,-,-,-
02170,0%,-,-,-,-
02180,0%,-,-,-,-
02185,0%,-,-,-,-
02188,0%,-,-,-,-
02195,0%,-,-,-,-
02198,0%,-,-,-,-
02220,0%,-,-,-,-
02230,0%,-,-,-,-
02240,0%,-,-,-,-
02261,0%,-,-,-,-
02270,0%,-,-,-,-
02275,0%,-,-,-,-
02282,0%,-,-,-,-
02290,0%,-,-,-,-
04001,34.39%, 31.73%, 66.12%, 2.14%,-
04003,28.74%, 31.61%, 60.35%, 1.18%, 6.85%
04005,17.81%, 38.71%, 56.52%, 1.06%, 3.72%
04007,38.22%, 26.08%, 64.29%, 0.73%, 8.90%
04009,48.74%, 22.02%, 70.76%, 1.95%, 5.27%
04011,35.13%, 28.79%, 63.92%, 0.60%, 6.68%
04012,0%,-,-,-,-
04013,12.89%, 39.26%, 52.14%,-, 3.92%
04015,31.09%, 28.89%, 59.97%, 0.22%, 10.92%
04017,35.41%, 30.52%, 65.92%, 1.33%,-
04019,10.91%, 53.15%, 42.24%, 1.56%, 3.05%
04021,17.30%, 39.24%, 56.54%, 1.47%, 2.75%
04023,4.16%, 46.19%, 50.35%, 0.55%, 2.91%
04025,23.62%, 34.44%, 58.06%, 0.86%, 6.64%
04027,26.56%, 32.46%, 59.02%, 0.63%, 7.90%
05001,29.21%, 35.39%, 64.61%,-,-
05003,53.28%, 23.36%, 76.64%,-,-
05005,48.38%, 25.81%, 74.19%,-,-
05007,41.21%, 29.39%, 70.61%,-,-
05009,40.53%, 29.74%, 70.26%,-,-
05011,57.37%, 21.32%, 78.68%,-,-
05013,54.47%, 22.76%, 77.24%,-,-
05015,18.77%, 40.61%, 59.39%,-,-
05017,9.20%, 45.40%, 54.60%,-,-
05019,48.89%, 25.56%, 74.44%,-,-
05021,33.42%, 33.29%, 66.71%,-,-
05023,52.29%, 23.86%, 76.14%,-,-
05025,66.13%, 16.94%, 83.06%,-,-
05027,48.41%, 25.80%, 74.20%,-,-
05029,15.17%, 42.42%, 57.58%,-,-
05031,56.56%, 21.72%, 78.28%,-,-
05033,15.16%, 42.42%, 57.58%,-,-
05035,72.17%, 13.91%, 86.09%,-,-
05037,57.25%, 21.37%, 78.63%,-,-
05039,37.15%, 31.43%, 68.57%,-,-
05041,44.47%, 27.77%, 72.23%,-,-
05043,32.01%, 34.00%, 66.00%,-,-
05045,42.63%, 28.69%, 71.31%,-,-
05047,48.52%, 25.74%, 74.26%,-,-
05049,47.31%, 26.34%, 73.66%,-,-
05051,22.71%, 38.65%, 61.35%,-,-
05053,66.87%, 16.56%, 83.44%,-,-
05055,62.27%, 18.87%, 81.13%,-,-
05057,25.89%, 37.05%, 62.95%,-,-
