statecounty,margin,coolidge,davis,other,lafollette
01001,66.56%, 15.30%, 81.87%, 0.52%, 2.31%
01003,23.96%, 27.76%, 51.72%, 0.71%, 19.82%
01005,86.26%, 5.33%, 91.59%, 0.34%, 2.73%
01007,45.41%, 18.27%, 63.68%, 0.58%, 17.47%
01009,15.23%, 40.92%, 56.15%, 0.16%, 2.78%
01011,97.80%,-, 98.83%, 1.17%,-
01013,74.21%, 7.54%, 83.33%,-, 9.13%
01015,40.48%, 27.17%, 67.65%, 0.60%, 4.58%
01017,84.09%, 6.91%, 91.00%, 0.05%, 2.04%
01019,23.51%, 37.13%, 60.63%, 2.24%,-
01021,29.60%, 63.19%, 33.60%, 0.24%, 2.97%
01023,95.98%,-, 97.80%, 2.20%,-
01025,85.16%, 6.77%, 91.93%, 1.30%,-
01027,21.75%, 38.13%, 59.88%, 1.99%,-
01029,5.44%, 51.18%, 45.74%, 0.29%, 2.79%
01031,65.50%, 16.61%, 82.11%, 1.29%,-
01033,40.69%, 25.29%, 65.98%, 0.44%, 8.30%
01035,79.61%, 8.49%, 88.10%, 0.55%, 2.86%
01037,21.46%, 38.66%, 60.12%, 1.22%,-
01039,78.34%, 7.54%, 85.88%, 0.19%, 6.38%
01041,79.65%, 9.41%, 89.06%, 1.53%,-
01043,4.68%, 45.11%, 49.79%, 0.14%, 4.95%
01045,56.90%, 20.61%, 77.52%, 1.87%,-
01047,85.87%, 2.36%, 91.76%,-, 5.89%
01049,6.70%, 53.35%, 46.65%,-,-
01051,65.19%, 16.43%, 81.62%, 1.95%,-
01053,75.00%, 10.70%, 85.70%, 0.35%, 3.24%
01055,28.24%, 33.17%, 61.41%, 0.60%, 4.82%
01057,16.09%, 41.26%, 57.35%, 1.39%,-
01059,92.53%,-, 95.66%, 1.20%, 3.13%
01061,41.68%, 27.85%, 69.53%, 0.35%, 2.28%
01063,97.11%,-, 98.31%, 1.69%,-
01065,94.12%, 2.60%, 96.72%, 0.68%,-
01067,61.55%, 17.29%, 78.84%, 0.29%, 3.57%
01069,72.14%, 11.72%, 83.87%, 0.39%, 4.02%
01071,35.68%, 30.42%, 66.11%, 0.52%, 2.96%
01073,39.76%, 23.88%, 63.64%, 0.68%, 11.81%
01075,60.26%, 19.14%, 79.40%, 1.46%,-
01077,45.41%, 25.90%, 71.30%, 0.28%, 2.52%
01079,35.46%, 31.79%, 67.26%, 0.95%,-
01081,78.39%, 6.52%, 85.77%, 0.33%, 7.38%
01083,78.95%, 8.40%, 87.35%, 1.11%, 3.15%
01085,92.68%,-, 95.86%, 0.96%, 3.18%
01087,83.19%, 8.15%, 91.34%, 0.51%,-
01089,69.53%, 14.23%, 83.76%, 2.01%,-
01091,97.07%,-, 98.42%, 1.58%,-
01093,98.18%,-, 99.05%, 0.95%,-
01095,20.55%, 38.75%, 59.31%, 1.94%,-
01097,36.37%, 28.54%, 64.91%, 0.57%, 5.98%
01099,94.26%,-, 96.09%, 3.91%,-
01101,80.27%, 4.62%, 87.70%, 0.24%, 7.44%
01103,55.05%, 16.53%, 71.58%, 0.67%, 11.21%
01105,93.58%, 2.59%, 96.17%, 1.24%,-
01107,76.40%, 11.05%, 87.45%, 1.51%,-
01109,95.75%,-, 97.34%, 2.66%,-
01111,31.88%, 33.43%, 65.32%, 1.25%,-
01113,85.36%, 2.70%, 91.33%,-, 5.97%
01115,5.34%, 50.64%, 45.30%, 0.18%, 3.89%
01117,3.37%, 45.81%, 49.18%, 0.16%, 4.86%
01119,91.52%, 3.17%, 94.68%,-, 2.15%
01121,45.69%, 26.04%, 71.72%, 2.24%,-
01123,99.42%,-, 99.59%, 0.41%,-
01125,76.83%, 8.97%, 85.80%, 0.58%, 4.65%
01127,14.74%, 39.85%, 54.59%, 0.15%, 5.41%
01129,81.86%, 8.11%, 89.97%, 1.92%,-
01131,96.25%,-, 97.81%, 2.19%,-
01133,24.83%, 61.02%, 36.19%, 0.28%, 2.51%
02013,0%,-,-,-,-
02016,0%,-,-,-,-
02020,0%,-,-,-,-
02050,0%,-,-,-,-
02060,0%,-,-,-,-
02068,0%,-,-,-,-
