id,margin,dewey,roosevelt,other
01001,82.48%, 8.58%, 91.06%, 0.37%
01003,47.93%, 25.49%, 73.41%, 1.10%
01005,92.07%, 2.84%, 94.91%,-
01007,67.46%, 15.78%, 83.25%, 0.97%
01009,36.12%, 31.73%, 67.85%, 0.41%
01011,95.56%, 2.22%, 97.78%,-
01013,91.75%, 4.00%, 95.75%, 0.25%
01015,71.85%, 13.80%, 85.65%, 0.56%
01017,89.13%, 5.30%, 94.43%, 0.27%
01019,62.09%, 18.55%, 80.64%, 0.82%
01021,17.74%, 41.02%, 58.77%, 0.21%
01023,86.86%, 6.46%, 93.32%, 0.23%
01025,88.08%, 5.90%, 93.98%, 0.12%
01027,34.67%, 32.36%, 67.03%, 0.61%
01029,30.45%, 34.57%, 65.02%, 0.41%
01031,92.14%, 3.88%, 96.02%, 0.10%
01033,74.31%, 12.75%, 87.07%, 0.18%
01035,83.60%, 7.74%, 91.34%, 0.91%
01037,46.25%, 26.60%, 72.86%, 0.54%
01039,84.06%, 7.92%, 91.98%, 0.09%
01041,88.46%, 5.61%, 94.06%, 0.33%
01043,27.60%, 35.83%, 63.43%, 0.73%
01045,72.29%, 13.28%, 85.57%, 1.14%
01047,89.85%, 4.90%, 94.74%, 0.36%
01049,24.84%, 37.52%, 62.35%, 0.13%
01051,88.74%, 5.58%, 94.32%, 0.09%
01053,76.90%, 11.30%, 88.20%, 0.51%
01055,58.10%, 20.28%, 78.38%, 1.34%
01057,28.59%, 35.51%, 64.10%, 0.39%
01059,18.74%, 40.56%, 59.30%, 0.13%
01061,67.35%, 16.01%, 83.36%, 0.62%
01063,87.40%, 6.23%, 93.63%, 0.14%
01065,94.92%, 2.54%, 97.46%,-
01067,94.41%, 2.73%, 97.15%, 0.12%
01069,84.07%, 7.73%, 91.80%, 0.47%
01071,48.53%, 25.65%, 74.18%, 0.18%
01073,61.24%, 19.15%, 80.40%, 0.45%
01075,72.92%, 13.18%, 86.10%, 0.72%
01077,73.98%, 12.80%, 86.77%, 0.43%
01079,53.92%, 22.94%, 76.86%, 0.20%
01081,87.26%, 6.23%, 93.49%, 0.28%
01083,90.23%, 4.70%, 94.93%, 0.36%
01085,95.97%,-, 97.92%, 2.08%
01087,85.20%, 7.35%, 92.56%, 0.09%
01089,82.94%, 8.39%, 91.33%, 0.28%
01091,89.86%, 4.83%, 94.69%, 0.49%
01093,19.32%, 40.17%, 59.48%, 0.35%
01095,47.27%, 26.31%, 73.58%, 0.11%
01097,52.90%, 23.08%, 75.98%, 0.94%
01099,95.30%, 2.25%, 97.55%, 0.20%
01101,91.63%, 3.98%, 95.62%, 0.40%
01103,71.52%, 13.72%, 85.24%, 1.03%
01105,90.88%, 4.46%, 95.35%, 0.19%
01107,74.93%, 12.30%, 87.23%, 0.47%
01109,90.28%, 3.63%, 93.91%, 2.46%
01111,43.11%, 27.95%, 71.06%, 1.00%
01113,89.50%, 5.16%, 94.66%, 0.18%
01115,23.80%, 37.86%, 61.66%, 0.47%
01117,34.67%, 32.44%, 67.11%, 0.45%
01119,90.36%, 4.69%, 95.05%, 0.27%
01121,63.77%, 17.74%, 81.50%, 0.76%
01123,91.96%, 3.92%, 95.88%, 0.20%
01125,78.14%, 10.48%, 88.62%, 0.90%
01127,34.43%, 32.45%, 66.87%, 0.68%
01129,84.95%, 7.33%, 92.28%, 0.38%
01131,95.00%, 2.42%, 97.42%, 0.16%
01133,25.45%, 62.52%, 37.07%, 0.41%
02013,0%,-,-,-
02016,0%,-,-,-
02020,0%,-,-,-
02050,0%,-,-,-
02060,0%,-,-,-
02068,0%,-,-,-
02070,0%,-,-,-
02090,0%,-,-,-
02100,0%,-,-,-
02105,0%,-,-,-
02110,0%,-,-,-
02122,0%,-,-,-
02130,0%,-,-,-
02150,0%,-,-,-
02164,0%,-,-,-
02170,0%,-,-,-
02180,0%,-,-,-
02185,0%,-,-,-
02188,0%,-,-,-
02195,0%,-,-,-
02198,0%,-,-,-
02220,0%,-,-,-
02230,0%,-,-,-
02240,0%,-,-,-
02261,0%,-,-,-
02270,0%,-,-,-
02275,0%,-,-,-
02282,0%,-,-,-
02290,0%,-,-,-
04001,25.91%, 36.99%, 62.91%, 0.10%
04003,34.54%, 32.67%, 67.21%, 0.13%
04005,11.17%, 44.34%, 55.51%, 0.15%
04007,35.99%, 31.80%, 67.79%, 0.41%
04009,35.00%, 32.43%, 67.43%, 0.14%
04011,45.01%, 27.33%, 72.34%, 0.33%
04012,0%,-,-,-
04013,12.83%, 43.41%, 56.23%, 0.36%
04015,14.40%, 42.64%, 57.05%, 0.31%
04017,25.42%, 37.14%, 62.56%, 0.31%
04019,9.02%, 45.37%, 54.39%, 0.24%
04021,22.53%, 38.51%, 61.04%, 0.44%
04023,27.89%, 35.95%, 63.85%, 0.20%
04025,10.88%, 44.33%, 55.21%, 0.45%
04027,30.89%, 34.46%, 65.35%, 0.19%
05001,24.72%, 37.48%, 62.20%, 0.33%
05003,76.59%, 11.59%, 88.17%, 0.24%
05005,16.33%, 41.69%, 58.02%, 0.29%
05007,7.19%, 53.52%, 46.33%, 0.15%
05009,22.49%, 38.75%, 61.25%,-
05011,82.47%, 8.63%, 91.10%, 0.27%
05013,76.26%, 11.87%, 88.13%,-
05015,10.91%, 44.55%, 55.45%,-
05017,70.21%, 14.79%, 84.99%, 0.22%
05019,51.28%, 24.30%, 75.58%, 0.11%
05021,15.23%, 42.31%, 57.54%, 0.15%
05023,17.88%, 40.50%, 58.39%, 1.11%
