id,margin,goldwater,johnson,other
01001,71.67%, 85.83%,-, 14.17%
01003,62.24%, 81.12%,-, 18.88%
01005,59.51%, 79.76%,-, 20.24%
01007,67.87%, 83.94%,-, 16.06%
01009,29.33%, 64.67%,-, 35.33%
01011,15.29%, 57.64%,-, 42.36%
01013,60.88%, 80.44%,-, 19.56%
01015,26.27%, 63.13%,-, 36.87%
01017,28.84%, 64.42%,-, 35.58%
01019,0.60%, 49.70%,-, 50.30%
01021,51.95%, 75.97%,-, 24.03%
01023,71.62%, 85.81%,-, 14.19%
01025,65.68%, 82.84%,-, 17.16%
01027,40.26%, 70.13%,-, 29.87%
01029,52.48%, 76.24%,-, 23.76%
01031,60.38%, 80.19%,-, 19.81%
01033,2.82%, 48.59%,-, 51.41%
01035,62.64%, 81.32%,-, 18.68%
01037,45.55%, 72.77%,-, 27.23%
01039,64.66%, 82.33%,-, 17.67%
01041,57.32%, 78.66%,-, 21.34%
01043,16.65%, 58.33%,-, 41.67%
01045,67.54%, 83.77%,-, 16.23%
01047,78.24%, 89.12%,-, 10.88%
01049,15.38%, 57.69%,-, 42.31%
01051,67.54%, 83.77%,-, 16.23%
01053,48.93%, 74.47%,-, 25.53%
01055,18.11%, 59.06%,-, 40.94%
01057,42.67%, 71.34%,-, 28.66%
01059,12.82%, 56.41%,-, 43.59%
01061,61.48%, 80.74%,-, 19.26%
01063,31.39%, 65.69%,-, 34.31%
01065,55.19%, 77.60%,-, 22.40%
01067,66.20%, 83.10%,-, 16.90%
01069,75.86%, 87.93%,-, 12.07%
01071,7.06%, 46.47%,-, 53.53%
01073,45.14%, 72.57%,-, 27.43%
01075,44.85%, 72.42%,-, 27.58%
01077,4.89%, 47.55%,-, 52.45%
01079,0.03%, 50.01%,-, 49.99%
01081,57.37%, 78.69%,-, 21.31%
01083,12.03%, 43.99%,-, 56.01%
01085,66.63%, 83.32%,-, 16.68%
01087,23.08%, 38.46%,-, 61.54%
01089,3.86%, 51.93%,-, 48.07%
01091,64.67%, 82.33%,-, 17.67%
01093,38.84%, 69.42%,-, 30.58%
01095,12.66%, 56.33%,-, 43.67%
01097,41.45%, 70.72%,-, 29.28%
01099,62.74%, 81.37%,-, 18.63%
01101,50.93%, 75.47%,-, 24.53%
01103,13.29%, 56.64%,-, 43.36%
01105,59.47%, 79.73%,-, 20.27%
01107,64.15%, 82.08%,-, 17.92%
01109,68.97%, 84.49%,-, 15.51%
01111,25.31%, 62.65%,-, 37.35%
01113,52.07%, 76.04%,-, 23.96%
01115,41.52%, 70.76%,-, 29.24%
01117,51.30%, 75.65%,-, 24.35%
01119,60.64%, 80.32%,-, 19.68%
01121,41.35%, 70.67%,-, 29.33%
01123,52.28%, 76.14%,-, 23.86%
01125,37.33%, 68.67%,-, 31.33%
01127,16.83%, 58.41%,-, 41.59%
01129,40.36%, 70.18%,-, 29.82%
01131,83.86%, 91.93%,-, 8.07%
01133,42.39%, 71.19%,-, 28.81%
02013,0%,-,-,-
02016,0%,-,-,-
02020,0%,-,-,-
02050,0%,-,-,-
02060,0%,-,-,-
02068,0%,-,-,-
02070,0%,-,-,-
02090,0%,-,-,-
02100,0%,-,-,-
02105,0%,-,-,-
02110,0%,-,-,-
02122,0%,-,-,-
02130,0%,-,-,-
02150,0%,-,-,-
02164,0%,-,-,-
02170,0%,-,-,-
02180,0%,-,-,-
02185,0%,-,-,-
02188,0%,-,-,-
02195,0%,-,-,-
02198,0%,-,-,-
02220,0%,-,-,-
02230,0%,-,-,-
02240,0%,-,-,-
02261,0%,-,-,-
02270,0%,-,-,-
02275,0%,-,-,-
02282,0%,-,-,-
02290,0%,-,-,-
04001,4.96%, 47.51%, 52.47%,-
04003,8.39%, 45.78%, 54.17%,-
04005,4.40%, 52.15%, 47.75%,-
04007,29.50%, 35.24%, 64.73%,-
04009,2.35%, 48.82%, 51.18%,-
04011,47.09%, 26.45%, 73.55%,-
04012,0%,-,-,-
04013,7.94%, 53.94%, 46.00%,-
04015,3.50%, 48.19%, 51.69%,-
04017,1.04%, 50.47%, 49.44%,-
04019,7.07%, 46.36%, 53.44%,-
04021,17.51%, 41.23%, 58.74%,-
04023,13.06%, 43.44%, 56.50%,-
04025,14.77%, 57.16%, 42.39%,-
04027,9.08%, 45.44%, 54.52%,-
05001,8.14%, 53.92%, 45.78%,-
05003,12.53%, 55.77%, 43.23%,-
05005,18.69%, 40.61%, 59.29%,-
05007,2.76%, 51.25%, 48.49%,-
05009,13.74%, 42.99%, 56.73%,-
05011,9.19%, 45.15%, 54.34%,-
05013,22.39%, 38.29%, 60.68%,-
05015,2.43%, 51.22%, 48.78%,-
05017,19.25%, 40.22%, 59.47%,-
05019,37.15%, 31.21%, 68.36%,-
05021,24.07%, 37.57%, 61.64%,-
05023,36.75%, 31.51%, 68.26%,-
05025,4.39%, 47.39%, 51.78%,-
05027,6.96%, 53.22%, 46.26%,-
05029,27.67%, 36.02%, 63.69%,-
05031,23.42%, 38.13%, 61.55%,-
05033,3.55%, 48.07%, 51.62%,-
05035,1.24%, 48.96%, 50.20%,-
05037,5.98%, 46.88%, 52.86%,-
05039,4.47%, 47.14%, 51.61%,-
05041,26.05%, 36.86%, 62.91%,-
05043,3.13%, 51.18%, 48.05%,-
05045,30.34%, 34.61%, 64.95%,-
05047,25.71%, 36.76%, 62.47%,-
05049,33.55%, 33.09%, 66.64%,-
05051,7.58%, 46.01%, 53.59%,-
05053,12.14%, 42.93%, 55.07%,-
05055,35.11%, 32.27%, 67.39%,-
05057,14.63%, 42.32%, 56.95%,-
05059,21.70%, 38.70%, 60.40%,-
05061,10.74%, 53.84%, 43.10%,-
05063,28.52%, 35.49%, 64.01%,-
05065,40.63%, 29.20%, 69.83%,-
05067,36.76%, 31.36%, 68.12%,-
05069,12.64%, 43.40%, 56.04%,-
05071,34.00%, 32.78%, 66.77%,-
05073,0.27%, 49.75%, 50.02%,-
05075,26.81%, 36.35%, 63.16%,-
05077,16.63%, 41.59%, 58.21%,-
05079,27.25%, 36.32%, 63.58%,-
05081,28.15%, 35.72%, 63.87%,-
05083,22.71%, 38.42%, 61.13%,-
05085,2.43%, 48.63%, 51.06%,-
05087,15.19%, 42.26%, 57.45%,-
05089,20.77%, 39.43%, 60.20%,-
05091,9.87%, 44.81%, 54.68%,-
05093,16.53%, 41.67%, 58.20%,-
05095,6.84%, 46.45%, 53.29%,-
05097,23.89%, 37.78%, 61.67%,-
05099,21.63%, 38.79%, 60.41%,-
05101,0.61%, 49.01%, 49.62%,-
05103,32.57%, 33.39%, 65.96%,-
05105,11.40%, 43.90%, 55.30%,-
05107,18.95%, 40.48%, 59.43%,-
05109,10.41%, 44.53%, 54.93%,-
05111,30.00%, 34.92%, 64.93%,-
05113,12.00%, 43.88%, 55.88%,-
05115,29.83%, 34.07%, 63.91%,-
05117,10.15%, 44.59%, 54.74%,-
05119,2.80%, 48.32%, 51.12%,-
05121,34.12%, 32.73%, 66.85%,-
05123,3.89%, 47.98%, 51.88%,-
05125,21.23%, 38.96%, 60.18%,-
05127,24.19%, 37.82%, 62.01%,-
05129,4.46%, 52.13%, 47.68%,-
05131,11.97%, 55.80%, 43.84%,-
05133,25.84%, 36.92%, 62.75%,-
05135,19.53%, 39.88%, 59.40%,-
05137,18.46%, 40.26%, 58.72%,-
05139,9.78%, 54.38%, 44.60%,-
05141,23.39%, 37.89%, 61.28%,-
05143,19.39%, 40.16%, 59.55%,-
05145,13.21%, 42.99%, 56.20%,-
05147,25.48%, 36.99%, 62.47%,-
05149,38.00%, 30.86%, 68.86%,-
06001,32.96%, 33.46%, 66.42%,-
06003,15.35%, 57.67%, 42.33%,-
06005,33.90%, 32.99%, 66.89%,-
06007,3.11%, 48.43%, 51.54%,-
06009,16.69%, 41.58%, 58.27%,-
06011,21.25%, 39.32%, 60.57%,-
06013,26.96%, 36.47%, 63.44%,-
06015,27.54%, 36.23%, 63.77%,-
06017,20.77%, 39.53%, 60.30%,-
06019,31.24%, 34.33%, 65.57%,-
06021,8.04%, 45.97%, 54.01%,-
06023,32.74%, 33.53%, 66.27%,-
06025,3.78%, 48.06%, 51.85%,-
06027,6.93%, 46.51%, 53.44%,-
06029,17.53%, 41.18%, 58.71%,-
06031,38.85%, 30.54%, 69.39%,-
06033,12.82%, 43.56%, 56.37%,-
06035,31.41%, 34.25%, 65.67%,-
06037,14.91%, 42.52%, 57.43%,-
06039,35.56%, 32.18%, 67.75%,-
06041,23.59%, 38.06%, 61.65%,-
06043,14.82%, 42.59%, 57.41%,-
06045,30.43%, 34.68%, 65.12%,-
06047,37.56%, 31.18%, 68.74%,-
06049,17.45%, 41.27%, 58.73%,-
06051,12.14%, 56.07%, 43.93%,-
06053,23.93%, 37.90%, 61.83%,-
06055,25.67%, 37.06%, 62.74%,-
06057,13.24%, 43.29%, 56.52%,-
06059,11.88%, 55.89%, 44.01%,-
06061,32.04%, 33.92%, 65.96%,-
06063,40.84%, 29.51%, 70.35%,-
06065,13.66%, 43.14%, 56.79%,-
06067,31.51%, 34.17%, 65.68%,-
06069,21.40%, 39.19%, 60.59%,-
06071,14.33%, 42.78%, 57.11%,-
