statecounty,22.58%, 38.47%, 61.05%,-
48001,17.69%, 41.10%, 58.78%,-
48003,19.27%, 40.22%, 59.50%,-
48005,21.74%, 39.02%, 60.77%,-
48007,42.36%, 28.65%, 71.01%,-
48009,60.04%, 19.98%, 80.02%,-
48011,19.69%, 40.15%, 59.85%,-
48013,42.98%, 28.41%, 71.39%,-
48015,20.95%, 39.46%, 60.41%,-
48017,17.45%, 41.22%, 58.67%,-
48019,6.96%, 46.49%, 53.45%,-
48021,55.10%, 22.38%, 77.48%,-
48023,56.52%, 21.68%, 78.21%,-
48025,37.36%, 31.23%, 68.58%,-
48027,66.35%, 16.78%, 83.13%,-
48029,33.96%, 32.90%, 66.86%,-
48031,60.95%, 19.49%, 80.44%,-
48033,27.21%, 36.28%, 63.48%,-
48035,44.77%, 27.52%, 72.29%,-
48037,19.24%, 40.31%, 59.55%,-
48039,30.37%, 34.60%, 64.98%,-
48041,33.24%, 33.31%, 66.54%,-
48043,32.64%, 33.65%, 66.30%,-
48045,46.92%, 26.42%, 73.35%,-
48047,70.18%, 14.87%, 85.05%,-
48049,43.11%, 28.38%, 71.49%,-
48051,60.69%, 19.61%, 80.30%,-
48053,51.73%, 24.08%, 75.81%,-
48055,54.74%, 22.60%, 77.34%,-
48057,53.38%, 23.25%, 76.64%,-
48059,43.76%, 27.96%, 71.72%,-
48061,25.43%, 37.14%, 62.57%,-
48063,43.15%, 28.29%, 71.44%,-
48065,20.22%, 39.83%, 60.05%,-
48067,14.65%, 42.61%, 57.26%,-
48069,49.68%, 25.10%, 74.78%,-
48071,30.38%, 34.61%, 64.99%,-
48073,28.60%, 35.64%, 64.25%,-
48075,34.97%, 32.48%, 67.45%,-
48077,56.23%, 21.82%, 78.05%,-
48079,43.33%, 28.22%, 71.55%,-
48081,42.08%, 28.84%, 70.92%,-
48083,30.11%, 34.93%, 65.04%,-
48085,40.13%, 29.85%, 69.98%,-
48087,22.49%, 38.68%, 61.16%,-
48089,31.07%, 34.41%, 65.48%,-
48091,24.19%, 37.84%, 62.03%,-
48093,49.46%, 25.19%, 74.65%,-
48095,51.04%, 24.44%, 75.48%,-
48097,13.40%, 43.23%, 56.62%,-
48099,61.39%, 19.22%, 80.61%,-
48101,65.93%, 17.00%, 82.93%,-
48103,18.09%, 40.86%, 58.95%,-
48105,32.20%, 33.77%, 65.98%,-
48107,57.64%, 21.13%, 78.77%,-
48109,20.20%, 39.90%, 60.10%,-
48111,20.35%, 39.80%, 60.15%,-
48113,9.67%, 45.06%, 54.73%,-
48115,30.40%, 34.74%, 65.14%,-
48117,7.72%, 46.01%, 53.73%,-
48119,65.31%, 17.30%, 82.60%,-
48121,35.59%, 32.13%, 67.71%,-
48123,18.00%, 40.97%, 58.96%,-
48125,59.09%, 20.34%, 79.42%,-
48127,40.46%, 29.68%, 70.14%,-
48129,20.27%, 39.86%, 60.14%,-
48131,85.17%, 7.37%, 92.55%,-
48133,39.14%, 30.35%, 69.49%,-
48135,3.00%, 51.36%, 48.36%,-
48137,4.78%, 52.11%, 47.33%,-
48139,44.71%, 27.62%, 72.33%,-
48141,25.68%, 36.99%, 62.67%,-
48143,40.18%, 29.87%, 70.04%,-
48145,52.75%, 23.61%, 76.35%,-
48147,66.07%, 16.93%, 83.00%,-
48149,28.08%, 35.86%, 63.94%,-
48151,64.43%, 17.69%, 82.12%,-
48153,31.87%, 33.94%, 65.81%,-
48155,70.10%, 14.90%, 85.00%,-
48157,27.77%, 36.01%, 63.78%,-
48159,56.38%, 21.81%, 78.19%,-
48161,44.76%, 27.60%, 72.35%,-
48163,42.51%, 28.67%, 71.19%,-
48165,27.87%, 36.02%, 63.89%,-
48167,42.40%, 28.64%, 71.04%,-
48169,37.60%, 31.03%, 68.64%,-
48171,14.37%, 42.80%, 57.17%,-
48173,1.10%, 50.41%, 49.31%,-
48175,28.62%, 35.63%, 64.24%,-
48177,47.48%, 26.18%, 73.66%,-
48179,15.93%, 57.93%, 42.00%,-
48181,44.14%, 27.88%, 72.01%,-
48183,14.67%, 57.14%, 42.47%,-
48185,37.42%, 31.23%, 68.65%,-
48187,25.14%, 37.37%, 62.51%,-
48189,23.39%, 38.21%, 61.60%,-
48191,45.58%, 27.19%, 72.77%,-
48193,34.10%, 32.92%, 67.02%,-
48195,16.20%, 58.03%, 41.83%,-
48197,44.94%, 27.53%, 72.47%,-
48199,44.16%, 27.81%, 71.97%,-
48201,19.17%, 40.32%, 59.49%,-
48203,6.56%, 46.67%, 53.24%,-
48205,12.76%, 43.57%, 56.33%,-
48207,69.89%, 14.97%, 84.86%,-
48209,49.39%, 25.26%, 74.64%,-
48211,7.09%, 46.41%, 53.50%,-
48213,40.35%, 29.61%, 69.96%,-
48215,31.24%, 34.25%, 65.50%,-
48217,53.36%, 23.25%, 76.61%,-
48219,41.43%, 29.20%, 70.63%,-
48221,59.32%, 20.27%, 79.59%,-
48223,46.27%, 26.86%, 73.14%,-
48225,37.38%, 31.22%, 68.60%,-
48227,30.01%, 34.93%, 64.94%,-
48229,32.18%, 33.68%, 65.86%,-
48231,33.05%, 33.42%, 66.47%,-
48233,7.33%, 53.58%, 46.25%,-
48235,27.64%, 36.18%, 63.82%,-
48237,30.56%, 34.66%, 65.22%,-
48239,40.66%, 29.55%, 70.22%,-
48241,30.36%, 34.66%, 65.02%,-
48243,27.14%, 36.33%, 63.47%,-
48245,21.49%, 39.09%, 60.58%,-
48247,79.93%, 9.93%, 89.87%,-
48249,55.01%, 22.50%, 77.50%,-
48251,32.46%, 33.72%, 66.18%,-
48253,47.30%, 26.32%, 73.62%,-
48255,52.31%, 23.77%, 76.08%,-
48257,42.49%, 28.71%, 71.20%,-
48259,10.58%, 55.22%, 44.64%,-
48261,58.22%, 20.55%, 78.77%,-
48263,66.08%, 16.96%, 83.04%,-
48265,3.35%, 48.25%, 51.60%,-
48267,24.73%, 37.60%, 62.33%,-
48269,68.22%, 15.89%, 84.11%,-
48271,47.81%, 26.09%, 73.91%,-
48273,46.81%, 26.52%, 73.32%,-
48275,60.20%, 19.81%, 80.01%,-
48277,41.65%, 29.13%, 70.78%,-
48279,36.16%, 31.85%, 68.01%,-
48281,49.83%, 25.05%, 74.88%,-
48283,63.12%, 18.40%, 81.52%,-
48285,46.24%, 26.83%, 73.07%,-
48287,34.21%, 32.86%, 67.07%,-
48289,57.28%, 21.24%, 78.52%,-
48291,29.95%, 34.93%, 64.88%,-
48293,43.68%, 28.08%, 71.77%,-
48295,12.87%, 56.43%, 43.57%,-
48297,28.21%, 35.71%, 63.93%,-
48299,44.97%, 27.47%, 72.44%,-
48301,17.72%, 40.51%, 58.23%,-
48303,11.87%, 44.02%, 55.89%,-
48305,50.69%, 24.59%, 75.28%,-
48307,52.34%, 23.72%, 76.06%,-
