statecounty,margin,nixon,humphrey,wallace
01001,51.05, 7.79, 19.97, 71.03
01003,65.27, 11.70, 9.89, 76.98
01005,45.22, 4.86, 23.89, 69.10
01007,66.21, 5.63, 13.95, 80.16
01009,49.78, 22.15, 3.64, 71.93
01011,4.53, 4.37, 45.18, 49.71
01013,59.24, 6.79, 16.85, 76.09
01015,56.27, 11.43, 15.48, 71.75
01017,61.37, 10.17, 12.77, 74.14
01019,75.83, 6.03, 8.13, 83.96
01021,56.27, 18.00, 6.36, 74.26
01023,42.82, 2.89, 26.93, 69.75
01025,51.60, 5.66, 19.90, 71.50
01027,66.26, 14.00, 5.08, 80.25
01029,70.81, 12.14, 4.01, 82.95
01031,72.58, 6.33, 9.95, 82.53
01033,57.93, 11.06, 14.67, 72.60
01035,50.07, 3.48, 21.53, 71.60
01037,57.91, 8.66, 16.35, 74.26
01039,80.65, 6.33, 6.03, 86.98
01041,69.11, 3.81, 13.25, 82.35
01043,35.33, 28.75, 6.46, 64.08
01045,74.67, 6.25, 8.88, 83.55
01047,13.72, 7.49, 39.17, 52.89
01049,19.05, 35.76, 8.57, 54.81
01051,61.74, 6.78, 14.77, 76.52
01053,64.86, 6.32, 13.86, 78.72
01055,53.88, 13.95, 14.79, 68.67
01057,61.81, 13.26, 10.84, 75.07
01059,37.21, 27.75, 6.46, 64.96
01061,87.30, 3.31, 4.43, 91.73
01063,16.98, 4.54, 56.16, 39.18
01065,17.70, 5.06, 38.08, 55.78
01067,61.94,-, 18.05, 79.99
01069,74.89, 5.89, 9.00, 83.89
01071,67.04, 10.92, 9.37, 77.96
01073,24.58, 19.39, 27.24, 51.81
01075,82.11, 6.14, 5.10, 88.25
01077,55.69, 15.63, 11.47, 71.32
01079,74.42, 7.70, 8.63, 83.05
01081,37.44, 18.01, 21.34, 58.78
01083,72.68, 8.39, 8.57, 81.25
01085,21.30, 7.17, 34.54, 55.84
01087,44.37, 4.03, 69.74, 25.37
01089,31.97, 25.43, 15.41, 57.40
01091,18.64, 4.99, 38.01, 56.64
01093,58.59, 17.76, 4.34, 76.34
01095,60.05, 16.34, 5.73, 76.39
01097,46.83, 11.43, 20.25, 67.08
01099,48.39, 5.12, 22.84, 71.23
01101,32.49, 14.50, 25.98, 58.47
01103,61.94, 13.66, 8.43, 75.60
01105,5.60, 5.55, 44.25, 49.85
01107,49.23, 5.07, 22.66, 71.89
01109,53.63, 7.89, 18.76, 72.39
01111,62.67, 12.33, 9.79, 75.00
01113,43.37, 6.26, 24.07, 67.44
01115,55.84, 16.86, 8.96, 72.70
01117,55.99, 15.84, 10.26, 71.83
01119,3.70, 6.30, 48.60, 44.89
01121,55.48, 10.32, 16.52, 72.00
01123,65.24, 10.19, 11.26, 76.50
01125,46.02, 13.47, 19.58, 65.60
01127,60.81, 13.56, 10.17, 74.37
01129,64.10, 3.52, 15.87, 79.98
01131,19.23, 5.34, 37.38, 56.62
01133,15.52, 39.33, 4.67, 54.86
02013,0,-,-,-
02016,0,-,-,-
02020,0,-,-,-
02050,0,-,-,-
02060,0,-,-,-
02068,0,-,-,-
02070,0,-,-,-
02090,0,-,-,-
02100,0,-,-,-
02105,0,-,-,-
02110,0,-,-,-
02122,0,-,-,-
02130,0,-,-,-
02150,0,-,-,-
02164,0,-,-,-
02170,0,-,-,-
02180,0,-,-,-
02185,0,-,-,-
02188,0,-,-,-
02195,0,-,-,-
02198,0,-,-,-
02220,0,-,-,-
02230,0,-,-,-
02240,0,-,-,-
02261,0,-,-,-
02270,0,-,-,-
02275,0,-,-,-
02282,0,-,-,-
02290,0,-,-,-
04001,10.10, 49.83, 39.73, 9.58
04003,6.12, 45.59, 39.48, 14.32
04005,28.63, 59.38, 30.76, 9.21
04007,12.58, 37.19, 49.77, 12.59
04009,12.19, 47.21, 35.02, 17.43
04011,37.54, 27.35, 64.89, 7.36
04012,0,-,-,-
04013,27.69, 59.08, 31.39, 9.08
04015,17.69, 51.64, 33.95, 14.21
04017,18.49, 51.00, 32.51, 15.96
04019,9.91, 50.61, 40.70, 7.39
04021,3.24, 42.37, 45.61, 11.50
04023,4.10, 48.17, 44.07, 6.85
04025,30.34, 58.44, 28.10, 12.94
04027,7.42, 46.85, 39.43, 13.26
05001,23.11, 23.76, 26.57, 49.67
